"assessor"	"journal"	"volume"	"issue"	"pages"	"evidence"	"corpus_based"	"quantitative"	"frequencies_mentioned"	"annotation"	"enriched"	"size_of_dataset_defined"	"additional_variables"	"hypothesis_mentioned"	"type_token_frequencies"	"data_availability"	"wordlists"	"Stat_tech"	"absolute_frequencies"	"percentages"	"basic_nht"	"linear_models"	"phylogenetic_trees"	"PCA"	"Comment"
"B,G"	"FLH"	33	1	"1--28"	"literature"	FALSE	FALSE	TRUE	"NA"	"NA"	TRUE	TRUE	TRUE	"type"	TRUE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"B,G"	"Diachronica"	29	1	"1--27"	"wordlists"	FALSE	TRUE	FALSE	"NA"	FALSE	FALSE	FALSE	TRUE	"NA"	TRUE	TRUE	"NHT"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"B,G"	"LangVarChange"	24		"1--31"	"spoken corpus"	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	"NA"	TRUE	FALSE	"Regression, NHT"	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	"NA"
"B,G"	"LangDynChange"	2	1	"1--33"	"demographics, atlas"	FALSE	TRUE	FALSE	"NA"	FALSE	TRUE	FALSE	TRUE	"NA"	TRUE	FALSE	"MDS, clustering, PCA"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	"NA"
"B,G"	"JHL"	2	1	"7--24"	"literature"	FALSE	FALSE	FALSE	"NA"	FALSE	"NA"	TRUE	FALSE	"NA"	FALSE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"B,G"	"TrPhilSoc"	110	1	"1--33"	"examples"	FALSE	FALSE	FALSE	"NA"	FALSE	"NA"	TRUE	FALSE	"NA"	FALSE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"Not historical"
"G"	"Diachronica"	29	2	"129--138"	"literature"	FALSE	FALSE	FALSE	"NA"	"NA"	"NA"	"NA"	TRUE	"NA"	TRUE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"G"	"Diachronica"	29	2	"139--161"	"corpora,wordlists"	TRUE	TRUE	FALSE	"NA"	TRUE	TRUE	FALSE	TRUE	"token"	TRUE	TRUE	"Regression "	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	"NA"
"G"	"LangDynChange"	2	2	"123--149"	"wordlists"	FALSE	TRUE	FALSE	"NA"	"NA"	TRUE	FALSE	TRUE	"token"	TRUE	TRUE	"Phylogenetic trees, PCA"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	"NA"
"B"	"Diachronica"	29	1	"28--71"	"examples, texts"	FALSE	FALSE	TRUE	"NA"	"NA"	FALSE	TRUE	TRUE	"token"	TRUE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"B"	"LangVarChange"	24	"-"	"397--415"	"Corpus of TOronto English"	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	"token"	FALSE	FALSE	"fixed-effect models"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	"variationist"
"B"	"LangVarChange"	24	"-"	"279--315"	"3 diachronically-related spoken corpora"	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	"token"	FALSE	FALSE	"absolute frequencies, percentages"	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	"NA"
"B"	"LangVarChange"	24	"-"	"343--369"	"composite spoken corpus"	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	"token"	FALSE	FALSE	"absolute frequencies, percentages, multivariate analysis, correlation test"	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	"NA"
"B"	"LangVarChange"	24	"-"	"59--78"	"spoken recordings; corpus"	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	"token"	FALSE	FALSE	"mixed-effect regression models"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	"methodological paper"
"B"	"LangVarChange"	24	"-"	"221--245"	"spoken corpus"	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	"token"	FALSE	FALSE	"linear mixed-effect models"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	"NA"
"G"	"LangVarChange"	24	"-"	"135--178"	"spoken corpus"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	"token"	TRUE	FALSE	"logistic regression, glmm, random forest"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	"Mainly methodological"
"G"	"LangVarChange"	24	"-"	"203--220"	"interview"	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	"token"	FALSE	FALSE	"Varbrul"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	"NA"
"G"	"LangDynChange"	2	"-"	"98--116"	"Typological database"	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	"type"	"partial"	FALSE	"Phylogenetic trees"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	"Parts of data from WALS"
"G"	"LangVarChange"	24	"-"	"317--341"	"Spoken corpora"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	"token"	TRUE	FALSE	"Varbrul"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	"NA"
"G"	"LangDynChange"	2	"-"	"184--211"	"Literature"	FALSE	FALSE	FALSE	"NA"	"NA"	FALSE	FALSE	TRUE	"NA"	TRUE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"Theoretical paper"
"G"	"LangVarChange"	24	"-"	"371--395"	"Interview / recordings"	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"NA"	FALSE	FALSE	"Varbrul"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	"variationist"
"G"	"Diachronica"	29	2	"231--257"	"Literature"	FALSE	FALSE	FALSE	"NA"	"NA"	"NA"	"NA"	TRUE	"NA"	TRUE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"Traditional-theoretical"
"G"	"LangVarChange"	24	"-"	"247--278"	"Interview / recordings"	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	"NA"	FALSE	FALSE	"Linear regression"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	"variationist"
"G"	"LangDynChange"	2	"-"	"215--258"	"Literature"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	"NA"	"partial"	TRUE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"Traditional-reconstruction"
"B"	"JHL"	2	1	"52--82"	"100-wordlist, literature, text"	FALSE	FALSE	TRUE	"NA"	FALSE	TRUE	TRUE	FALSE	"type"	FALSE	TRUE	"percentages"	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	"NA"
"B"	"LangVarChange"	24	"-"	"107--133"	"speech data"	FALSE	TRUE	FALSE	"NA"	FALSE	TRUE	FALSE	FALSE	"token"	FALSE	FALSE	"logistic regression, Pearson correlation test"	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	"not historical"
"B"	"LangVarChange"	24	"-"	"179--202"	"speech data"	FALSE	TRUE	FALSE	"NA"	"NA"	FALSE	TRUE	TRUE	"token"	FALSE	FALSE	"chi-square, logistic regression"	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	"NA"
"B"	"FLH"	33	"-"	"87--121"	"examples"	FALSE	FALSE	"NA"	"NA"	"NA"	FALSE	TRUE	FALSE	"NA"	FALSE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"B"	"JHL"	2	2	"208--238"	"texts, Piedmontese Wikipedia, examples"	FALSE	FALSE	TRUE	"NA"	FALSE	FALSE	TRUE	TRUE	"token"	FALSE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"G"	"FLH"	33	"-"	"29--85"	"Literature, dictionaries"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	"type"	TRUE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"G"	"Diachronica"	29	2	"201--230"	"Literature"	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"	TRUE	TRUE	"NA"	TRUE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"G"	"FLH"	33	"-"	"123--134"	"Literature, dictionaries"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	"NA"	TRUE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"G"	"FLH"	33		"175--213"	"Corpus (YCOE)"	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	"token"	TRUE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"G"	"LangVarChange"	24	"-"	"79--106"	"Interview data"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	"NA"	FALSE	FALSE	"Varbrul"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	"NA"
"B"	"FLH"	33	"-"	"135--173"	"corpus; texts"	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	"token"	FALSE	FALSE	"linear regression models with random effects, Fisher Yates significance test"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	"NA"
"B"	"JHL"	2	2	"173--207"	"Tycho Brahe historical corpus; FrePDP corpus"	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	"token"	FALSE	FALSE	"freP, anova, Bayesian model"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	"NA"
"B"	"Diachronica"	29	1	"72--97"	"examples from texts"	TRUE	FALSE	"NA"	FALSE	FALSE	FALSE	TRUE	TRUE	"NA"	FALSE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"B"	"LangVarChange"	24	"-"	"33--58"	"spoken corpus"	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	"token"	FALSE	FALSE	"mixed-effect logistic regression models"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	"NA"
"B"	"LangDynChange"	2	"-"	"150--183"	"composite database, GIS, survey data"	FALSE	FALSE	"NA"	FALSE	FALSE	FALSE	TRUE	TRUE	"token"	FALSE	FALSE	"bivariate and multivariate thematic maps"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	"NA"
"B"	"JHL"	2	1	"83--132"	"ARCHER corpus"	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	"token"	FALSE	FALSE	"absolute frequencies"	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"B"	"LangDynChange"	2	"-"	"34--58"	"examples"	FALSE	FALSE	"NA"	"NA"	"NA"	FALSE	TRUE	FALSE	"NA"	FALSE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"B"	"Diachronica"	29	4	"471--504"	"examples, wordlists, spoken corpus"	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	"type"	FALSE	TRUE	"absolute frequencies"	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"B"	"Diachronica"	29	4	"411--433"	"examples"	FALSE	FALSE	"NA"	"NA"	"NA"	FALSE	TRUE	FALSE	"type"	FALSE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"G"	"JHL"	2	2	"153--172"	"corpus"	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	"both"	TRUE	FALSE	"none"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"G"	"Diachronica"	29	2	"160--200"	"qualitative"	FALSE	FALSE	"NA"	"NA"	FALSE	TRUE	TRUE	FALSE	"NA"	FALSE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"B"	"Diachronica"	29	4	"434--470"	"wordlists"	FALSE	FALSE	"NA"	"NA"	FALSE	FALSE	TRUE	FALSE	"type"	FALSE	TRUE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"B"	"LangDynChange"	2	"-"	"59--97"	"examples"	FALSE	FALSE	"NA"	"NA"	FALSE	FALSE	TRUE	FALSE	"type"	FALSE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"B"	"Diachronica"	29	3	"301--305"	"corpus of ego-documents, corpus of letters "	TRUE	FALSE	TRUE	"NA"	FALSE	TRUE	TRUE	FALSE	"token"	FALSE	FALSE	"percentages"	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	"NA"
"B"	"TrPhilSoc"	110	3	"316--341"	"examples"	FALSE	FALSE	"NA"	FALSE	"NA"	FALSE	TRUE	FALSE	"type"	FALSE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"B"	"TrPhilSoc"	110	3	"342--362"	"examples, texts in Vedic, Homeric Greek, Early Latin"	FALSE	FALSE	"NA"	"NA"	FALSE	FALSE	TRUE	FALSE	"type"	FALSE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"B"	"TrPhilSoc"	110	3	"363--393"	"examples, noncancase database, ICEPAHC"	TRUE	FALSE	TRUE	FALSE	"NA"	FALSE	TRUE	FALSE	"type"	FALSE	FALSE	"absolute frequencies, percentages"	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	"NA"
"B"	"TrPhilSoc"	110	3	"394--421"	"examples"	FALSE	FALSE	"NA"	"NA"	"NA"	FALSE	TRUE	FALSE	"token"	FALSE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"B"	"TrPhilSoc"	110	3	"422--442"	"examples"	FALSE	FALSE	"NA"	"NA"	"NA"	FALSE	TRUE	FALSE	"type"	FALSE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"B"	"TrPhilSoc"	110	1	"80--93"	"examples"	FALSE	FALSE	"NA"	"NA"	"NA"	FALSE	TRUE	FALSE	"type"	FALSE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"B"	"TrPhilSoc"	110	1	"94--121"	"examples, BTL, CIL"	FALSE	FALSE	TRUE	"NA"	"NA"	FALSE	TRUE	FALSE	"both"	FALSE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"B"	"Diachronica"	29	3	"326--358"	"fieldwork, previous literature"	FALSE	FALSE	"NA"	"NA"	"NA"	FALSE	TRUE	FALSE	"type"	FALSE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"G"	"JHL"	2	1	"25--51"	"Literature"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	"NA"	TRUE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"G"	"Diachronica"	29	4	"523--537"	"wordlists"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	"NA"	TRUE	TRUE	"Phylogenetic"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	"NA"
"G"	"Diachronica"	29	3	"275--300"	"Literature"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	"NA"	TRUE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"G"	"JHL"	2	2	"239--281"	"Literature"	FALSE	TRUE	"NA"	FALSE	FALSE	FALSE	FALSE	TRUE	"token"	TRUE	FALSE	"binomial test"	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	"NA"
"G"	"TrPhilSoc"	110	2	"149--170"	"Literature, interviews"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"	FALSE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"G"	"TrPhilSoc"	110	2	"171--211"	"Literature"	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	"token"	TRUE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"G"	"TrPhilSoc"	110	2	"212--224"	"Literature"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"	TRUE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"G"	"TrPhilSoc"	110	2	"225--240"	"Spoken corpus"	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	"token"	TRUE	FALSE	"Varbrul"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	"NA"
"G"	"TrPhilSoc"	110	2	"241--282"	"Literature"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	"NA"	TRUE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"G"	"TrPhilSoc"	110	2	"283--310"	"Literature"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"	TRUE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"Theoretical overivew"
"G"	"TrPhilSoc"	110	1	"34--63"	"Bibliographic database"	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	"NA"	TRUE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"Grammar writing, not really linguistic"
"G"	"TrPhilSoc"	110	1	"64--79"	"Literature"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"	TRUE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"G"	"TrPhilSoc"	110	1	"122--148"	"Literature, online database"	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	"type"	TRUE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
